,setup,model,mse,predictors,correlation,sens,spec,prec,params
740,CYP2C9_body,composite,0.31886097477552017,5,,,,,Vote threshold=0.5
3596,CYP2C9_prom,composite,0.32191945338585448,6,,,,,Vote threshold=0.5
746,CYP3A4_body,composite,0.44225072682350858,11,,,,,Vote threshold=0.5
3602,CYP3A4_prom,composite,0.43487177416364486,8,,,,,Vote threshold=0.5
752,CYP3A7_body,composite,0.37218975125859655,9,,,,,Vote threshold=0.5
3608,CYP3A7_prom,composite,0.43355928932842719,13,,,,,Vote threshold=0.5
758,CYP4F2_body,composite,1.1869263549560827,7,,,,,Vote threshold=0.5
3614,CYP4F2_prom,composite,1.5485034776327966,8,,,,,Vote threshold=0.5
764,DAZL_body,composite,0.5686515158021328,4,,,,,Vote threshold=0.5
3620,DAZL_prom,composite,0.50513832901043698,6,,,,,Vote threshold=0.5
770,DBT_body,composite,0.10258098413007549,4,,,,,Vote threshold=0.5
3626,DBT_prom,composite,0.10558623419948328,4,,,,,Vote threshold=0.5
776,DCT_body,composite,0.077578198115414151,17,,,,,Vote threshold=0.5
3632,DCT_prom,composite,0.071992436642725366,11,,,,,Vote threshold=0.5
782,DDC_body,composite,1.8499702785574557,11,,,,,Vote threshold=0.5
3638,DDC_prom,composite,1.4891008786458939,20,,,,,Vote threshold=0.5
788,DDX51_body,composite,0.12804006449908972,5,,,,,Vote threshold=0.5
794,DDX6_body,composite,0.27786004538737386,2,,,,,Vote threshold=0.5
3644,DDX6_prom,composite,0.26562591858876605,2,,,,,Vote threshold=0.5
800,DHFR_body,composite,0.26256292400391523,12,,,,,Vote threshold=0.5
806,DLG1_body,composite,0.15688788608895676,1,,,,,Vote threshold=0.5
3650,DLG1_prom,composite,0.15622726713675478,2,,,,,Vote threshold=0.5
812,DLX4_body,composite,1.0344117746967971,7,,,,,Vote threshold=0.5
3656,DLX4_prom,composite,1.0331599141122421,4,,,,,Vote threshold=0.5
818,DNMT1_body,composite,0.16650114495472557,5,,,,,Vote threshold=0.5
3662,DNMT1_prom,composite,0.16126990579689984,6,,,,,Vote threshold=0.5
824,DSG1_body,composite,0.89682079149576099,9,,,,,Vote threshold=0.5
3668,DSG1_prom,composite,0.7325271902172984,8,,,,,Vote threshold=0.5
830,DTNA_body,composite,0.68384491770145883,4,,,,,Vote threshold=0.5
3674,DTNA_prom,composite,0.79314808324224351,4,,,,,Vote threshold=0.5
836,DTYMK_body,composite,0.26921848075729521,9,,,,,Vote threshold=0.5
3680,DTYMK_prom,composite,0.26012663594947572,8,,,,,Vote threshold=0.5
842,E2F1_body,composite,0.45521503991567841,5,,,,,Vote threshold=0.5
3686,E2F1_prom,composite,0.55607707282891261,8,,,,,Vote threshold=0.5
848,EGFR_body,composite,0.51331575514805039,13,,,,,Vote threshold=0.5
3692,EGFR_prom,composite,0.46997480674292041,14,,,,,Vote threshold=0.5
854,ELAVL2_body,composite,0.76160447991328772,5,,,,,Vote threshold=0.5
3698,ELAVL2_prom,composite,0.75133292120909168,8,,,,,Vote threshold=0.5
860,ELK4_body,composite,0.23960044289564861,3,,,,,Vote threshold=0.5
3704,ELK4_prom,composite,0.23771879327167497,4,,,,,Vote threshold=0.5
866,ELOVL6_body,composite,0.70584918884519454,8,,,,,Vote threshold=0.5
3710,ELOVL6_prom,composite,0.77848094282534985,8,,,,,Vote threshold=0.5
872,EP300_body,composite,0.33524529383724194,5,,,,,Vote threshold=0.5
3716,EP300_prom,composite,0.30024248915762908,3,,,,,Vote threshold=0.5
878,EPB42_body,composite,0.29856324665622763,4,,,,,Vote threshold=0.5
3722,EPB42_prom,composite,0.32102530186846473,5,,,,,Vote threshold=0.5
884,EPHA5_body,composite,0.33670995658661496,11,,,,,Vote threshold=0.5
3728,EPHA5_prom,composite,0.38233070548313847,9,,,,,Vote threshold=0.5
890,EPHB1_body,composite,0.64723210649971064,11,,,,,Vote threshold=0.5
3734,EPHB1_prom,composite,0.64738014768185526,12,,,,,Vote threshold=0.5
896,EPHB2_body,composite,0.37531300567406156,4,,,,,Vote threshold=0.5
3740,EPHB2_prom,composite,0.37079052720090705,4,,,,,Vote threshold=0.5
902,EPHB3_body,composite,0.52056961246431577,10,,,,,Vote threshold=0.5
3746,EPHB3_prom,composite,0.51392783185279156,13,,,,,Vote threshold=0.5
908,EPYC_body,composite,1.5940952960299002,11,,,,,Vote threshold=0.5
3752,EPYC_prom,composite,1.927201273699342,12,,,,,Vote threshold=0.5
914,ERBB3_body,composite,0.29835331177767371,10,,,,,Vote threshold=0.5
3758,ERBB3_prom,composite,0.36518316036909149,8,,,,,Vote threshold=0.5
920,ERBB4_body,composite,1.0216032204425918,14,,,,,Vote threshold=0.5
3764,ERBB4_prom,composite,1.3475315546917102,13,,,,,Vote threshold=0.5
926,ERCC2_body,composite,0.21604987245416668,0,,,,,Vote threshold=0.5
3770,ERCC2_prom,composite,0.21604987245416668,0,,,,,Vote threshold=0.5
932,ERCC4_body,composite,0.20555831530698671,2,,,,,Vote threshold=0.5
3776,ERCC4_prom,composite,0.20689617384238701,2,,,,,Vote threshold=0.5
938,ESPL1_body,composite,0.19308069483084914,7,,,,,Vote threshold=0.5
3782,ESPL1_prom,composite,0.20384078627154315,10,,,,,Vote threshold=0.5
944,ESR1_body,composite,2.0510799371430815,19,,,,,Vote threshold=0.5
3788,ESR1_prom,composite,1.9657654726537073,25,,,,,Vote threshold=0.5
950,ETV1_body,composite,0.58077161836709279,5,,,,,Vote threshold=0.5
3794,ETV1_prom,composite,0.62309680400842027,8,,,,,Vote threshold=0.5
956,ETV3_body,composite,0.065803977867576691,5,,,,,Vote threshold=0.5
3800,ETV3_prom,composite,0.057679441719866241,4,,,,,Vote threshold=0.5
962,EXO1_body,composite,0.94470505845028196,8,,,,,Vote threshold=0.5
3806,EXO1_prom,composite,1.0969189176006449,7,,,,,Vote threshold=0.5
968,EXPH5_body,composite,0.34323973163630844,7,,,,,Vote threshold=0.5
3812,EXPH5_prom,composite,0.39313873268935245,9,,,,,Vote threshold=0.5
980,F2RL3_body,composite,0.13589145477964604,5,,,,,Vote threshold=0.5
3824,F2RL3_prom,composite,0.188403349764168,5,,,,,Vote threshold=0.5
974,F2_body,composite,0.13279775601384708,23,,,,,Vote threshold=0.5
3818,F2_prom,composite,0.11549478029809093,12,,,,,Vote threshold=0.5
986,FANCC_body,composite,0.13762832787271076,7,,,,,Vote threshold=0.5
3830,FANCC_prom,composite,0.14947235817925983,9,,,,,Vote threshold=0.5
992,FANCG_body,composite,0.36463758644878674,6,,,,,Vote threshold=0.5
3836,FANCG_prom,composite,0.39836059949035724,7,,,,,Vote threshold=0.5
998,FANCI_body,composite,0.58146322675199447,7,,,,,Vote threshold=0.5
3842,FANCI_prom,composite,0.62713238878076094,9,,,,,Vote threshold=0.5
1004,FASLG_body,composite,1.0453868462517788,8,,,,,Vote threshold=0.5
3848,FASLG_prom,composite,1.0974582286910857,8,,,,,Vote threshold=0.5
1010,FBP2_body,composite,1.3620958181792542,5,,,,,Vote threshold=0.5
3854,FBP2_prom,composite,1.3685571372197867,5,,,,,Vote threshold=0.5
1016,FEV_body,composite,0.13232742129629627,0,,,,,Vote threshold=0.5
3860,FEV_prom,composite,0.13232742129629627,0,,,,,Vote threshold=0.5
1022,FGB_body,composite,0.76681233778947755,20,,,,,Vote threshold=0.5
3866,FGB_prom,composite,0.70780993130655567,18,,,,,Vote threshold=0.5
1028,FGFR2_body,composite,2.1560022123644931,8,,,,,Vote threshold=0.5
3872,FGFR2_prom,composite,2.1076092520806631,7,,,,,Vote threshold=0.5
1034,FGFR4_body,composite,0.91357251893159974,7,,,,,Vote threshold=0.5
3878,FGFR4_prom,composite,0.82375732530437862,9,,,,,Vote threshold=0.5
1040,FGL1_body,composite,1.9015318296762134,20,,,,,Vote threshold=0.5
3884,FGL1_prom,composite,1.2736125054800209,13,,,,,Vote threshold=0.5
1046,FLT1_body,composite,0.4831052519532133,7,,,,,Vote threshold=0.5
3890,FLT1_prom,composite,0.49443616418436065,9,,,,,Vote threshold=0.5
1052,FLT4_body,composite,0.097053317135761472,8,,,,,Vote threshold=0.5
3896,FLT4_prom,composite,0.10659292143418338,7,,,,,Vote threshold=0.5
3902,FMO3_prom,composite,1.1705678833899578,15,,,,,Vote threshold=0.5
1058,FOLH1_body,composite,0.75834965090587336,7,,,,,Vote threshold=0.5
