,setup,model,mse,predictors,correlation,sens,spec,prec,params
86,AMHR2_body,agrace,0.24706113104475536,479,,,,,"lambda 1=10.0, lambda 2=0.01"
85,AMHR2_body,composite,0.26022443978430854,9,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
87,AMHR2_body,enet,0.24810478068253433,9,,,,,"alpha=0.04, l1_ratio=0.99"
88,AMHR2_body,grace,0.24705833992610426,479,,,,,"lambda 1=10.0, lambda 2=0.01"
89,AMHR2_body,lasso,0.24781061705920604,8,,,,,alpha=0.04
2486,AMHR2_prom,agrace,0.25777065809651073,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2485,AMHR2_prom,composite,0.26690646649899663,5,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2487,AMHR2_prom,enet,0.25627989558237663,6,,,,,"alpha=0.04, l1_ratio=0.99"
2488,AMHR2_prom,grace,0.25777108601591525,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2489,AMHR2_prom,lasso,0.25667528038099058,5,,,,,alpha=0.04
91,AMMECR1_body,agrace,0.47747621455375855,479,,,,,"lambda 1=10.0, lambda 2=0.01"
90,AMMECR1_body,composite,0.47613321444833612,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
92,AMMECR1_body,enet,0.47859588436043699,4,,,,,"alpha=0.04, l1_ratio=0.99"
93,AMMECR1_body,grace,0.47747565771684897,479,,,,,"lambda 1=10.0, lambda 2=0.01"
94,AMMECR1_body,lasso,0.47870111998000858,4,,,,,alpha=0.04
2491,AMMECR1_prom,agrace,0.48357597510795075,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2490,AMMECR1_prom,composite,0.49273797025824889,5,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2492,AMMECR1_prom,enet,0.48269339675386297,5,,,,,"alpha=0.04, l1_ratio=0.99"
2493,AMMECR1_prom,grace,0.48357602469961081,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2494,AMMECR1_prom,lasso,0.482681305649723,5,,,,,alpha=0.04
96,ANGPT1_body,agrace,0.45988066501965336,479,,,,,"lambda 1=10.0, lambda 2=0.01"
95,ANGPT1_body,composite,0.49286137178004452,10,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
97,ANGPT1_body,enet,0.46203991704462472,9,,,,,"alpha=0.04, l1_ratio=0.99"
98,ANGPT1_body,grace,0.45988015778044039,479,,,,,"lambda 1=10.0, lambda 2=0.01"
99,ANGPT1_body,lasso,0.46204657873221577,9,,,,,alpha=0.04
2496,ANGPT1_prom,agrace,0.46646737046723313,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2495,ANGPT1_prom,composite,0.46321906322931355,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2497,ANGPT1_prom,enet,0.46977141768856367,7,,,,,"alpha=0.04, l1_ratio=0.99"
2498,ANGPT1_prom,grace,0.46646801765122536,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2499,ANGPT1_prom,lasso,0.47159805162349394,7,,,,,alpha=0.04
101,AP4E1_body,agrace,0.10616944092086854,479,,,,,"lambda 1=10.0, lambda 2=0.01"
100,AP4E1_body,composite,0.098429702753383072,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
102,AP4E1_body,enet,0.1089843994113868,3,,,,,"alpha=0.04, l1_ratio=0.99"
103,AP4E1_body,grace,0.10616944151123661,479,,,,,"lambda 1=10.0, lambda 2=0.01"
104,AP4E1_body,lasso,0.10913844558926949,2,,,,,alpha=0.04
2501,AP4E1_prom,agrace,0.10758364912395765,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2500,AP4E1_prom,composite,0.10459475033818061,2,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2502,AP4E1_prom,enet,0.10888192173939934,2,,,,,"alpha=0.04, l1_ratio=0.99"
2503,AP4E1_prom,grace,0.10758366279025236,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2504,AP4E1_prom,lasso,0.10893251607943012,2,,,,,alpha=0.04
2506,APC_prom,agrace,0.16705673940259072,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2505,APC_prom,composite,0.17505135182748871,2,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2507,APC_prom,enet,0.16568446165578082,2,,,,,"alpha=0.04, l1_ratio=0.99"
2508,APC_prom,grace,0.1670567396814365,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2509,APC_prom,lasso,0.16563597482288459,2,,,,,alpha=0.04
111,APOBEC1_body,agrace,0.68785625087837488,479,,,,,"lambda 1=10.0, lambda 2=0.01"
110,APOBEC1_body,composite,0.73138631920457819,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
112,APOBEC1_body,enet,0.67827888041708206,3,,,,,"alpha=0.04, l1_ratio=0.99"
113,APOBEC1_body,grace,0.68785625111723769,479,,,,,"lambda 1=10.0, lambda 2=0.01"
114,APOBEC1_body,lasso,0.67790059105133182,3,,,,,alpha=0.04
2516,APOBEC1_prom,agrace,0.66638303791519615,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2515,APOBEC1_prom,composite,0.68743295459211284,2,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2517,APOBEC1_prom,enet,0.66299779598953124,2,,,,,"alpha=0.04, l1_ratio=0.99"
2518,APOBEC1_prom,grace,0.66638304159859363,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2519,APOBEC1_prom,lasso,0.66283499521976574,2,,,,,alpha=0.04
106,APOB_body,agrace,0.12204511069138038,479,,,,,"lambda 1=10.0, lambda 2=0.01"
105,APOB_body,composite,0.12990905597788874,8,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
107,APOB_body,enet,0.1176264188932865,8,,,,,"alpha=0.04, l1_ratio=0.99"
108,APOB_body,grace,0.1220442700303009,479,,,,,"lambda 1=10.0, lambda 2=0.01"
109,APOB_body,lasso,0.12133368393566012,7,,,,,alpha=0.04
2511,APOB_prom,agrace,0.129217283415096,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2510,APOB_prom,composite,0.13005536271868523,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2512,APOB_prom,enet,0.12828909083601014,8,,,,,"alpha=0.04, l1_ratio=0.99"
2513,APOB_prom,grace,0.1292136952152004,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2514,APOB_prom,lasso,0.13156322514598143,7,,,,,alpha=0.04
121,ARHGAP11A_body,agrace,0.81859002393597868,479,,,,,"lambda 1=10.0, lambda 2=0.01"
120,ARHGAP11A_body,composite,0.70476043826635448,8,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
122,ARHGAP11A_body,enet,0.83923041117405706,6,,,,,"alpha=0.04, l1_ratio=0.99"
123,ARHGAP11A_body,grace,0.81860745287927206,479,,,,,"lambda 1=10.0, lambda 2=0.01"
124,ARHGAP11A_body,lasso,0.83970764883507121,6,,,,,alpha=0.04
2526,ARHGAP11A_prom,agrace,0.90187377509074862,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2525,ARHGAP11A_prom,composite,0.93307957757324766,9,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
