,lasso,enet,grace,linf,composite
MON2,0.16044674261365344,0.15869491848606815,0.15631191108804321,0.11666692783634867,0.14535866977866818
MPHOSPH9,0.2681666281760251,0.26865118003162142,0.26607759734744713,0.27468045254696194,0.26284491699380413
MPL,0.30970450325895266,0.30174917566957432,0.30075519775291987,0.31910561147078448,0.27916468431202357
MPP2,0.72978361438840478,0.72759455348073221,0.72360924476163202,0.73214954459857307,0.75215778223385021
MPZ,0.23632809259259263,0.23632809259259263,0.23632809259259263,0.24883956832845444,0.23632809259259263
MRE11A,0.10612501315702928,0.10570853517740944,0.10509258358150862,0.11593595399549371,0.10340316507079847
MSH2,0.236675761977965,0.23527410925066086,0.23539902544922206,0.21131467314097796,0.23318798099665289
MSX2,1.2217333247848421,1.2076063903763083,1.1722107696756727,1.1052135025125329,1.1234252518002961
MTMR7,0.66855643829036715,0.66838787050844184,0.66980833680112262,0.68762983719131443,0.67655579357014861
MUC1,1.5159478730908438,1.514675373312421,1.384639630099544,1.70769470688326,1.2147487090179578
MUC4,0.66262860150076774,0.6634884297417154,0.66570094498288124,0.66061793247509137,0.67800788469047868
MYBL2,0.85287573900932456,0.82873829174862546,0.81002539876303414,0.87733682187791162,0.75389168463735878
MYB,1.2483081548080501,1.2536655945114219,1.1903107386921765,1.3508751546545443,1.0394109639210802
MYEF2,0.35994694889985718,0.35154015802075989,0.35282155734771792,0.2997755451850645,0.34409630826718235
MYH3,0.91431279893455042,0.90298490797469355,0.90368730732023095,0.83431382929906073,0.92649029360752178
MYO7A,0.56195026425925942,0.56214905713042251,0.56011908811139843,0.46553857731288889,0.56195026425925942
NCAPH,0.51578421565982968,0.51805483106776906,0.49961762890945755,0.48472336903165075,0.52705015331926353
NCOA2,0.19283259909630676,0.19308546420448588,0.19109814447899723,0.17586401542945851,0.19572232575997831
NEBL,1.1189261674170432,1.1060116879192545,1.0952565841895607,1.1595431560477916,1.1481644517804681
NEK2,1.3318571208797947,1.3239916554752587,1.2914673988773824,1.3092796638555706,1.23047580408067
NELL2,3.0381106559401272,3.1445641432405713,2.9575953577031449,3.2330549530957908,3.0689651800850615
NF1,0.22453140934912622,0.22378698937293681,0.2229145050060157,0.18768852777203013,0.2191482776264847
NGFR,0.85175400219215325,0.84643807809740534,0.82637731775719325,0.77323453552543175,0.78845854416704009
NHLH2,0.061334689909097642,0.061575651460657785,0.062033565928700921,0.070706226037081446,0.06695898529927817
NOVA1,1.8883387949105424,1.865839331837579,1.8554241371077806,2.1208694635529679,1.8271559453986768
NPHP1,0.26987003809171073,0.27135748876809029,0.26922544387932429,0.26914677756659722,0.26696303575235192
NPR3,1.5944221904419804,1.579827467028653,1.6168562736851524,1.7721768686326176,1.7222821424066153
NPY2R,2.4512425009318837,2.448081673579539,2.451000047925973,2.3816008474952848,2.4105138984180683
NPY6R,0.12630321445712156,0.12522806449109461,0.12508018391031323,0.13572919142441073,0.12394332933310973
NR2C1,0.23874700018307765,0.23778807644309558,0.23948543700816285,0.25447462210984056,0.25049570548027567
NR2F6,0.40733715515595287,0.40952090409387537,0.4116654719316582,0.367369044674349,0.43379211217363217
NR6A1,0.16766676981447134,0.1650509505803176,0.16753659759875419,0.16344929480346501,0.16914637099304944
NRCAM,1.4342813727397581,1.4292411293076985,1.3635824965750818,1.4492994851592262,1.2322226476725548
NRP2,0.32239495131791995,0.3216293667736505,0.31763310108426995,0.31496766077082833,0.31649516488080609
NTRK2,0.79089944680491886,0.78338630571177337,0.75695977305732798,0.67329337938034239,0.75205759254350268
NTRK3,0.80109439007886341,0.80510094587617953,0.79310500731355515,0.73200423186968833,0.75561481352565196
ODF1,0.085325696991433747,0.084679729258174588,0.083831919664324087,0.08508324653368568,0.080333034014740054
OPCML,0.65249058504521718,0.65425106582157522,0.65560657248583198,0.64458291649733179,0.67124174552329086
OPRM1,0.16492803128507644,0.16462239038217799,0.16378684180476968,0.17909878279352348,0.16194820437002683
OR2H1,0.16492852322525206,0.16507204737602224,0.16535400757055857,0.18037487215455292,0.16869218190978744
PAH,0.95575689791118412,0.93077622776103319,0.97485211715668596,1.0375075037271004,1.1140639955280698
PAX3,0.70009426475353809,0.70233998682508902,0.70215107299049306,0.74785091560350581,0.71681021979654802
PAX6,0.91356666425091104,0.92671201547346582,0.89111533055285919,0.90931018276699171,0.94706844151994407
PAX9,1.8281472619443693,1.8178494180182232,1.7833443434786469,1.7746734062456082,1.7654292422396325
PAXIP1,0.17439608141683532,0.17400100514854006,0.1745751550602796,0.17672045048810137,0.17912117875740211
PCM1,0.42638180473861992,0.41934941403882281,0.40224607407546054,0.38196174912965436,0.40687750179939575
PCNA,0.46659879890228284,0.46272526868146791,0.46111528190303125,0.41997858842379182,0.4596657165930082
PDE10A,0.83714296256707998,0.83851263970797174,0.84086680193826036,0.84656193484644693,0.94417882309441914
PDE3A,0.45171137185532745,0.45368578937657983,0.44911437087057365,0.48835789264801371,0.43735102599483316
PDE6A,0.22244032790539806,0.22248266566622094,0.22278920237900379,0.21523180868466762,0.22720705981737299
PDX1,0.64050109954481527,0.63822798401675196,0.63452096094287591,0.60688323745522599,0.61539683673061785
PHOX2B,0.37360392899469297,0.37371784100099853,0.37275441686363586,0.36975750141821428,0.37239240879060204
PHTF2,0.17167472118288038,0.17167472118288038,0.17098838386572893,0.19593824601077173,0.17167472118288038
PIGR,2.2446765086751168,2.2086208022451053,2.130720091613818,2.1462806175161542,2.0616931145519239
PIK3C2G,1.0696071173722042,1.0707028191550902,1.0576506284300851,1.0829903192871431,1.2890467808671526
PIK3R3,0.2168956241489006,0.21615798273707501,0.2149189843378769,0.20521517629252314,0.20957336160436293
PKMYT1,0.50224413891717545,0.50217166989418005,0.50150181336001287,0.44535800055726305,0.50133995376176543
PKN2,0.22270153475238155,0.22343702786095823,0.22197225462712283,0.22541631702446588,0.2209742567628101
PLG,0.04929377323823729,0.049048866027615025,0.049056190743858148,0.05512092589766196,0.049919782739987172
PLK1,0.25944304518909533,0.26659707095887153,0.25982419330546602,0.25492364264393569,0.26218684481324372
PLK4,0.55600849152910936,0.54961450730567618,0.55577404176337253,0.47880320561039236,0.55836916653671431
PLS1,1.1284115845624778,1.1121877561538469,1.0778613231454977,1.0170655072985904,0.96035988131653316
PNLIPRP1,0.21139029085410663,0.21133845622198799,0.21137452337660229,0.25043464708779956,0.21424064569414653
PNLIPRP2,3.5863219733271277,3.5988509231160069,3.5978576936967275,3.7586093388566715,3.8823959049097083
POLA1,0.23359510643314363,0.23387338300742419,0.23576774438751905,0.22141465790320372,0.24482311620100894
POLD1,0.34781841094683513,0.34503308076427475,0.35030442221914593,0.32080754759277003,0.36257027085113624
POLE2,0.59539133693949986,0.58676604399873888,0.59130378576233544,0.57233018286865522,0.57948768370671755
PPAT,0.36884562305920587,0.36866278890759713,0.36711182688170652,0.36161213803706582,0.36103744354646428
PPM1E,0.50279543827104811,0.50376586732649409,0.50187678867926255,0.50045548050222322,0.5028980921286853
PPP2R1B,0.3073998407725585,0.3055868427700229,0.30190309962268141,0.3061884602944559,0.2866690763891771
PPP2R5E,0.13134857527690705,0.13104386250242386,0.13072085622439708,0.13538795666417527,0.13284665339470411
PRIM1,0.3325363253332026,0.32693617393738611,0.32475575949951335,0.32042257288596981,0.30318408526254076
PRKACA,0.089491939197264905,0.089704308029908128,0.089706769502699721,0.092052467586321393,0.092150394513149256
PRLR,0.69935430123817088,0.691177758811508,0.69651605754251078,0.59917424534165287,0.71753602511242132
PRL,0.11075921398106024,0.1106818580416485,0.11065719779231241,0.11091777416154301,0.11237864929631838
PROX1,0.69641752973287718,0.69558655860245067,0.65600874761867534,0.60898299281577695,0.63500725361428967
PROZ,0.55746636491012747,0.56270171860821572,0.55781732496310199,0.57351259871176496,0.57989298991037164
PRTN3,0.16527539739083988,0.16442315944273059,0.16360611798281652,0.1512973847761323,0.16431819579657689
PSPC1,0.21444117892506956,0.2146739510786739,0.21503140104262855,0.20140860516659576,0.21893985416996739
PTGER3,0.99015337047996566,0.9805219119794456,0.95074069679369744,0.95783983462296907,0.88225112383292248
PTK7,0.46727937879187897,0.46489096365753008,0.45648021330283961,0.4748983223067485,0.46314820943310991
PTPN21,0.35953711888796136,0.36124372483382766,0.36425176810563137,0.39949252733513885,0.38484795861203824
PTTG1,0.81787719932275915,0.81450239246674883,0.79226303638481055,0.75046112832950085,0.83608591541829425
RAD51AP1,0.85731008022420474,0.85318842084925561,0.82869497133395997,0.8222025747974252,0.886579659304222
RAD51,0.76621228057871549,0.7545853181275084,0.72691163074180165,0.71895312098638842,0.81131111416806845
RB1,0.39083531704384777,0.38799050160448545,0.3778926608442319,0.36851222403782746,0.36530869840531333
RBBP7,0.68551396312089941,0.68698161201187613,0.68721611698981766,0.66805102548807771,0.69589108321558968
RBL1,0.45960817086247718,0.46788433392849499,0.46417749342170322,0.39497272183678933,0.4984178846335181
RCC1,0.088537039199848663,0.088313865406800376,0.088010470057992202,0.10051635400476977,0.085158985770805995
RECQL5,0.17823885070009793,0.17608948540015595,0.17505981814865065,0.17953493378360022,0.17995407816491291
REG1A,0.1316787606530837,0.13105924962622398,0.13063210132559611,0.14083733671617124,0.1351837130947495
REG1B,0.097530457279640187,0.09771731773973974,0.098004057230659539,0.10239587707932597,0.10112851572976388
REL,0.54207036279245946,0.54487179022143706,0.5533818198159276,0.53316373375085768,0.60886505741582098
RFC3,0.28941729882011014,0.28936738555065233,0.28870566587938806,0.27667892844546949,0.28804391907492688
RFC4,0.50589721919063513,0.51108580690240457,0.50482762513180224,0.46975102113197265,0.50801216475508548
RFC5,0.27546302452644628,0.2717740150359001,0.26850278846873055,0.26203236165500676,0.24998406336296725
RGS7,0.88017459453196456,0.87472896563633162,0.86817324090617032,0.82717562784941212,0.9795515269670354
RIBC2,1.4223514484167255,1.4208318297356783,1.4060106799987881,1.5690619573423275,1.4600440423941483
RNF8,0.14669849501631543,0.14571539382962462,0.14356150380217872,0.11692610436175567,0.13486523236510151
ROS1,0.5409845486661945,0.54197981858760802,0.54287038473102533,0.5337567957274989,0.56051233792548616
RPH3A,0.19055055510840344,0.1895472991243928,0.18822661445615624,0.17901272761590353,0.18178295245196593
RPS6KA5,0.59525498607856731,0.58137540403326859,0.5509122379517466,0.52532363497700507,0.49854803304916967
RPS6KB1,0.32162862035699924,0.31870179485421352,0.31518253372749105,0.28315729791718885,0.30334808269970737
RQCD1,0.36292986095401936,0.3633631172629696,0.3626351520453952,0.27439188561958361,0.36347710227963281
RREB1,0.12490706576038434,0.12491289520416908,0.12501961925141686,0.11924930939863636,0.12598280186726482
RRM2,1.109202173777029,1.1037488880235373,1.0515513245346562,0.9967557437607506,1.1180931520777246
RUNX1T1,0.74426882015204587,0.74425459481839995,0.72725900913411579,0.70624635676870706,0.75013051241488127
RUNX2,0.25604907484652945,0.25500470220052462,0.25283695598453854,0.24233744056689785,0.25111011828667479
RXRG,0.28519150301422769,0.28376386619311067,0.28435864327774102,0.30326131746242391,0.28949213963984849
RYR3,0.50433186982687572,0.49854826368509769,0.48868841374571592,0.4633837169354052,0.56507006918891145
SCNN1G,0.47830627549836457,0.48204891746675671,0.4830351457178037,0.49355771791976732,0.50569717437271922
