,setup,model,mse,predictors,correlation,sens,spec,prec,params
725,EP300_body,composite,0.33524529383724194,5,,,,,Vote threshold=0.5
3095,EP300_prom,composite,0.30024248915762908,3,,,,,Vote threshold=0.5
730,EPB42_body,composite,0.29856324665622763,4,,,,,Vote threshold=0.5
3100,EPB42_prom,composite,0.32102530186846473,5,,,,,Vote threshold=0.5
735,EPHA5_body,composite,0.33670995658661496,11,,,,,Vote threshold=0.5
3105,EPHA5_prom,composite,0.38233070548313847,9,,,,,Vote threshold=0.5
740,EPHB1_body,composite,0.64723210649971064,11,,,,,Vote threshold=0.5
3110,EPHB1_prom,composite,0.64738014768185526,12,,,,,Vote threshold=0.5
745,EPHB2_body,composite,0.37531300567406156,4,,,,,Vote threshold=0.5
3115,EPHB2_prom,composite,0.37079052720090705,4,,,,,Vote threshold=0.5
750,EPHB3_body,composite,0.52056961246431577,10,,,,,Vote threshold=0.5
3120,EPHB3_prom,composite,0.51392783185279156,13,,,,,Vote threshold=0.5
755,EPYC_body,composite,1.5940952960299002,11,,,,,Vote threshold=0.5
3125,EPYC_prom,composite,1.927201273699342,12,,,,,Vote threshold=0.5
760,ERBB3_body,composite,0.29835331177767371,10,,,,,Vote threshold=0.5
3130,ERBB3_prom,composite,0.36518316036909149,8,,,,,Vote threshold=0.5
765,ERBB4_body,composite,1.0216032204425918,14,,,,,Vote threshold=0.5
3135,ERBB4_prom,composite,1.3475315546917102,13,,,,,Vote threshold=0.5
770,ERCC2_body,composite,0.21604987245416668,0,,,,,Vote threshold=0.5
3140,ERCC2_prom,composite,0.21604987245416668,0,,,,,Vote threshold=0.5
775,ERCC4_body,composite,0.20555831530698671,2,,,,,Vote threshold=0.5
3145,ERCC4_prom,composite,0.20689617384238701,2,,,,,Vote threshold=0.5
780,ESPL1_body,composite,0.19308069483084914,7,,,,,Vote threshold=0.5
3150,ESPL1_prom,composite,0.20384078627154315,10,,,,,Vote threshold=0.5
785,ESR1_body,composite,2.0510799371430815,19,,,,,Vote threshold=0.5
3155,ESR1_prom,composite,1.9657654726537073,25,,,,,Vote threshold=0.5
790,ETV1_body,composite,0.58077161836709279,5,,,,,Vote threshold=0.5
3160,ETV1_prom,composite,0.62309680400842027,8,,,,,Vote threshold=0.5
795,ETV3_body,composite,0.065803977867576691,5,,,,,Vote threshold=0.5
3165,ETV3_prom,composite,0.057679441719866241,4,,,,,Vote threshold=0.5
800,EXO1_body,composite,0.94470505845028196,8,,,,,Vote threshold=0.5
3170,EXO1_prom,composite,1.0969189176006449,7,,,,,Vote threshold=0.5
805,EXPH5_body,composite,0.34323973163630844,7,,,,,Vote threshold=0.5
3175,EXPH5_prom,composite,0.39313873268935245,9,,,,,Vote threshold=0.5
815,F2RL3_body,composite,0.13589145477964604,5,,,,,Vote threshold=0.5
3185,F2RL3_prom,composite,0.188403349764168,5,,,,,Vote threshold=0.5
810,F2_body,composite,0.13279775601384708,23,,,,,Vote threshold=0.5
3180,F2_prom,composite,0.11549478029809093,12,,,,,Vote threshold=0.5
820,FANCC_body,composite,0.13762832787271076,7,,,,,Vote threshold=0.5
3190,FANCC_prom,composite,0.14947235817925983,9,,,,,Vote threshold=0.5
825,FANCG_body,composite,0.36463758644878674,6,,,,,Vote threshold=0.5
3195,FANCG_prom,composite,0.39836059949035724,7,,,,,Vote threshold=0.5
830,FANCI_body,composite,0.58146322675199447,7,,,,,Vote threshold=0.5
3200,FANCI_prom,composite,0.62713238878076094,9,,,,,Vote threshold=0.5
835,FASLG_body,composite,1.0453868462517788,8,,,,,Vote threshold=0.5
3205,FASLG_prom,composite,1.0974582286910857,8,,,,,Vote threshold=0.5
840,FBP2_body,composite,1.3620958181792542,5,,,,,Vote threshold=0.5
3210,FBP2_prom,composite,1.3685571372197867,5,,,,,Vote threshold=0.5
845,FEV_body,composite,0.13232742129629627,0,,,,,Vote threshold=0.5
3215,FEV_prom,composite,0.13232742129629627,0,,,,,Vote threshold=0.5
850,FGB_body,composite,0.76681233778947755,20,,,,,Vote threshold=0.5
3220,FGB_prom,composite,0.70780993130655567,18,,,,,Vote threshold=0.5
855,FGFR2_body,composite,2.1560022123644931,8,,,,,Vote threshold=0.5
3225,FGFR2_prom,composite,2.1076092520806631,7,,,,,Vote threshold=0.5
860,FGFR4_body,composite,0.91357251893159974,7,,,,,Vote threshold=0.5
3230,FGFR4_prom,composite,0.82375732530437862,9,,,,,Vote threshold=0.5
865,FGL1_body,composite,1.9015318296762134,20,,,,,Vote threshold=0.5
3235,FGL1_prom,composite,1.2736125054800209,13,,,,,Vote threshold=0.5
870,FLT1_body,composite,0.4831052519532133,7,,,,,Vote threshold=0.5
3240,FLT1_prom,composite,0.49443616418436065,9,,,,,Vote threshold=0.5
875,FLT4_body,composite,0.097053317135761472,8,,,,,Vote threshold=0.5
3245,FLT4_prom,composite,0.10659292143418338,7,,,,,Vote threshold=0.5
3250,FMO3_prom,composite,1.1705678833899578,15,,,,,Vote threshold=0.5
880,FOLH1_body,composite,0.75834965090587336,7,,,,,Vote threshold=0.5
